sasbdb_code,fit_name,cormap_main_p,cormap_main_c,cormap_alt_p,cormap_alt_c,n_points
SASDAA7,SASDAA7_FIT_208,9.5367431640625e-07,21.0,0.0,147.0,275
SASDAA8,SASDAA8_FIT_280,1.6704779438076223e-52,173.0,0.0,890.0,2135
SASDAB8,SASDAB8_FIT_281,1.1102230246251565e-16,54.0,0.0,116.0,116
SASDAC8,SASDAC8_FIT_282,4.547473508864641e-13,42.0,0.0,135.0,219
SASDAH8,SASDAH8_FIT_283,5.684341886080802e-14,45.0,0.0,618.0,945
SASDAJ8,SASDAJ8_FIT_284,5.820766091346741e-11,35.0,0.0,631.0,1043
SASDAK8,SASDAK8_FIT_285,3.4924596548080444e-10,34.0,0.0,616.0,1043
SASDAL8,SASDAL8_FIT_286,,,,,0
SASDAM8,SASDAM8_FIT_287,9.094947017729282e-13,41.0,0.0,567.0,1686
SASDAN8,SASDAN8_FIT_288,5.169878828456423e-26,85.0,0.0,884.0,1667
